Baseline,JointlyFeasibleN,JointlyFeasibleEnvironments,RA_MedianJ,Baseline_MedianJ,RA_MedianE_Wh,Baseline_MedianE_Wh,RA_MedianT_s,Baseline_MedianT_s,RA_MedianRisk,Baseline_MedianRisk
Energy-A*,18,6,9.30567862835237,9.28510594559237,7.21540203654042,7.29029262106166,89.6237696522222,88.5926066666546,0.0008122337335527,0.00212961720831448
Informed-RRT*,9,6,8.46769493903934,13.9221295136818,6.8562078496853,8.96193621575657,83.5127815640736,84.0683756715136,9.29445916241159e-05,0.00397873991018449
ST-EA*,18,6,8.61444906332834,8.58397953658821,6.84273453782375,6.96301488646272,86.4238220923101,84.0364187561509,0.0008122337335527,0.000400955217527709
Greedy,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
