Algorithm,EnvironmentSeed,AlgorithmSeed,UniqueTrial,ReachedGoal,PlannerSuccess,FailureReason,J,EnergyWh,TimeS,DynamicRisk,Pheight,Pstatic,Pdynamic,PNFZ,Pbattery,Pkinematic,Feasible,EvaluationStatus,NumericalFailure
Energy-A*,948,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,948,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1041,NaN,1,1,1,execution_constraint_violation,337.752310548395,7.08403294810438,86.037382694546,0.00885779480981272,2.32825582046702,0.961538461538462,0,0,0,0,0,evaluated,0
Energy-A*,1041,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1041,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1103,NaN,1,0,0,open_set_or_budget_without_goal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1103,NaN,0,0,0,open_set_or_budget_without_goal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1103,NaN,0,0,0,open_set_or_budget_without_goal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1227,NaN,1,1,1,none,9.34489781468561,7.66954577132874,94.0635830531745,0,0,0,0,0,0,0,1,evaluated,0
Energy-A*,1227,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1227,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1475,NaN,1,1,1,none,8.4088624938004,6.45020343104816,73.9322221880963,0,0,0,0,0,0,0,1,evaluated,0
Energy-A*,1475,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,1475,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,2312,NaN,1,1,1,none,11.2470802029295,7.19065472027393,86.8542273259752,0.243506936553431,0,0,0,0,0,0,1,evaluated,0
Energy-A*,2312,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,2312,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,2560,NaN,1,1,1,execution_constraint_violation,26.4774458814747,7.11915795353601,86.1017946382157,0.103816683971556,0.166743106978164,0,0,0,0,0,0,evaluated,0
Energy-A*,2560,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Energy-A*,2560,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,483,569,1,1,1,execution_constraint_violation,420.810552967253,8.33380265532389,88.0516493669614,0.847195883309103,0,0,3.72113836498274,0.279905579822004,0,0,0,evaluated,0
Informed-RRT*,483,622,1,1,1,execution_constraint_violation,1028.95112137192,8.16411088458937,88.9588123403382,1.30966089974306,0,0,7.14355082694635,2.899708018554,0,0,0,evaluated,0
Informed-RRT*,483,675,1,1,1,execution_constraint_violation,971.06529047491,8.62425511022709,88.8761601646126,1.26962565028556,0,0,7.43976039783002,2.01497276460917,0,0,0,evaluated,0
Informed-RRT*,638,724,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,638,777,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,638,830,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,855,941,1,1,1,none,16.8274605799174,8.96193621575657,90.8177975482536,0.312231792719147,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,855,994,1,1,1,execution_constraint_violation,104.047153454892,8.81376330759704,92.204879554606,0.404967130754288,0,0,0.866050675831832,0.00268959906496617,0,0,0,evaluated,0
Informed-RRT*,855,1047,1,1,1,execution_constraint_violation,36.1535382118618,7.77140470869576,84.274968554858,0.0116463684252252,0,0,0.250000000000002,0,0,0,0,evaluated,0
Informed-RRT*,948,1034,1,1,1,execution_constraint_violation,46.1335299348672,9.1221413374736,95.7503227937804,0.0322233904782205,0,0,0.322999581064098,0,0,0,0,evaluated,0
Informed-RRT*,948,1087,1,1,1,none,13.9221295136818,9.10774866406403,92.196017133568,0.00397873991018449,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,948,1140,1,1,1,execution_constraint_violation,55.1492305163616,7.73522476868856,87.8613461724552,0.0111446591461261,0,0,0.444444444444445,0,0,0,0,evaluated,0
Informed-RRT*,1041,1127,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,1041,1180,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,1041,1233,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,1103,1189,1,1,1,none,11.4894694371013,7.3806904562533,73.0011434702517,0.00811657843477341,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,1103,1242,1,1,1,execution_constraint_violation,426.418515865585,7.29187649558715,75.193701974023,0.466726288075901,0,0,3.11300309597523,0.995113951583012,0,0,0,evaluated,0
Informed-RRT*,1103,1295,1,1,1,execution_constraint_violation,51.4867551346131,7.81850771797329,74.015911345428,0.0269911591124456,0,0,0.3875,0,0,0,0,evaluated,0
Informed-RRT*,1227,1313,1,1,1,none,13.1139564511454,9.06007221258049,99.1690009967276,0.00629964778845476,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,1227,1366,1,1,1,none,13.947961012855,9.27794548330734,94.7658175433163,0,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,1227,1419,1,1,1,execution_constraint_violation,64.6591223019703,8.98332974707555,96.0792944077886,0.0216969161787786,0,0,0.512499999999999,0,0,0,0,evaluated,0
Informed-RRT*,1475,1561,1,1,1,none,14.1491643641803,8.58633663030838,76.604638747367,5.10100205289911e-05,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,1475,1614,1,1,1,none,17.455576964545,10.1743607415633,80.987381897487,0.0015167429560572,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,1475,1667,1,1,1,none,12.1885127606877,7.682511072812,72.0306593393407,0,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,2312,2398,1,1,1,none,11.9683392919414,7.97613185911534,84.0683756715136,0.029191104535821,0,0,0,0,0,0,1,evaluated,0
Informed-RRT*,2312,2451,1,1,1,execution_constraint_violation,165.33335861117,6.86048906480197,80.7435180222296,0.103462532243691,0.1484873882444,0.0129870129870127,1.39024390243903,0,0,0,0,evaluated,0
Informed-RRT*,2312,2504,1,1,1,execution_constraint_violation,32.1786858664492,7.86011723591314,84.4473616114031,0.0206726012753423,0,0,0.205128205128205,0,0,0,0,evaluated,0
Informed-RRT*,2560,2646,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,2560,2699,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Informed-RRT*,2560,2752,1,0,0,goal_not_reached,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,483,NaN,1,0,0,wall_clock_timeout,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,483,NaN,0,0,0,wall_clock_timeout,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,483,NaN,0,0,0,wall_clock_timeout,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,638,NaN,1,0,0,open_set_empty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,638,NaN,0,0,0,open_set_empty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,638,NaN,0,0,0,open_set_empty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,855,NaN,1,1,1,none,8.61438446740645,7.01149682212551,84.813616011421,0.000801910435055419,0,0,0,0,0,0,1,evaluated,0
ST-EA*,855,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,855,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,948,NaN,1,1,1,none,8.71169572786279,7.08295012393281,86.2608585888592,0,0,0,0,0,0,0,1,evaluated,0
ST-EA*,948,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,948,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1041,NaN,1,0,0,wall_clock_timeout,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1041,NaN,0,0,0,wall_clock_timeout,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1041,NaN,0,0,0,wall_clock_timeout,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1103,NaN,1,1,1,none,7.6410784393581,6.13704758784093,72.9672940789404,0.00129174375233382,0,0,0,0,0,0,1,evaluated,0
ST-EA*,1103,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1103,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1227,NaN,1,1,1,none,9.04142213045465,7.39430193936274,90.6757607813788,0,0,0,0,0,0,0,1,evaluated,0
ST-EA*,1227,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1227,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1475,NaN,1,1,1,none,7.44078769258259,5.92553046054186,70.4744448646391,0,0,0,0,0,0,0,1,evaluated,0
ST-EA*,1475,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,1475,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,2312,NaN,1,1,1,none,8.55357460576997,6.91453295079993,83.2592215008807,0.00476439197245223,0,0,0,0,0,0,1,evaluated,0
ST-EA*,2312,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,2312,NaN,0,1,1,none,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,2560,NaN,1,0,0,open_set_empty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,2560,NaN,0,0,0,open_set_empty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
ST-EA*,2560,NaN,0,0,0,open_set_empty,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,483,NaN,1,1,1,execution_constraint_violation,3324.49533159388,23.9668152302,126.9642022834,0.446043297320618,30.3712356175912,2.3655439028413,0.0540540540540539,0.000480466799975082,0,0,0,evaluated,0
Greedy,483,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,483,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,638,NaN,1,1,1,execution_constraint_violation,2067.89160688037,14.1200031631725,106.18125566271,0.00225087882376103,18.2553164244028,2.19403638187641,0,0,0,0,0,evaluated,0
Greedy,638,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,638,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,855,NaN,1,1,1,execution_constraint_violation,3181.66802005879,21.6351820816271,118.179761266437,0.0195057042008336,29.1205084974796,2.08089771610153,0.251366120218579,0,0,0,0,evaluated,0
Greedy,855,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,855,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,948,NaN,1,1,1,execution_constraint_violation,1987.87941628209,24.4604079415675,134.184256144743,0.022199046660636,16.0637113409738,2.42852107803948,0.94736842105263,0,0,0,0,evaluated,0
Greedy,948,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,948,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1041,NaN,1,1,1,execution_constraint_violation,4008.78190832245,19.6841141999795,115.808055058269,0.105485293242968,36.3483389026102,3.4006657104896,0,0,0,0,0,evaluated,0
Greedy,1041,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1041,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1103,NaN,1,1,1,execution_constraint_violation,13025.2096583944,50.4486519824274,337.672632504886,1.71818470045589,121.799038744464,1.05195778004767,4.54861111111111,1.94053306680424,0,0,0,evaluated,0
Greedy,1103,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1103,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1227,NaN,1,1,1,execution_constraint_violation,2563.14509919824,25.1523511595048,133.337728081013,0.0945456636301691,23.2852414748412,1.90106176479845,0,0,0,0,0,evaluated,0
Greedy,1227,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1227,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1475,NaN,1,1,1,execution_constraint_violation,9184.76070476651,53.2875017067135,157.36276436244,0.0641104359216525,87.7919184067767,2.56804273454928,0.605769230769231,0,0,0,0,evaluated,0
Greedy,1475,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,1475,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,2312,NaN,1,1,1,execution_constraint_violation,8242.85258781772,46.3484685778601,152.372798904267,0.331743364520424,78.4590278907154,3.08319372441961,0.104166666666667,0,0,0,0,evaluated,0
Greedy,2312,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,2312,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,2560,NaN,1,1,1,execution_constraint_violation,2123.36848217689,23.827976495935,124.315226768741,0.158643087138468,18.5325381391579,1.95420225137019,0.323529411764706,0,0,0,0,evaluated,0
Greedy,2560,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
Greedy,2560,NaN,0,1,1,execution_constraint_violation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,no_path,0
