Algorithm,EnvironmentSeed,AlgorithmSeed,J,EnergyWh,TimeS,DynamicRisk,Pheight,Pstatic,Pdynamic,PNFZ,Pbattery,Feasible
RA-ALA,483,547,17.3524910323008,11.3245629876655,119.724809649217,0.337231705673082,0,0,0,0,0,1
RA-ALA,483,600,22.4443300792516,14.1911519513674,128.880959886182,0.00947632599332868,0.0156171122965476,0.01953125,0,0,0,0
RA-ALA,483,653,16.2740398317633,11.3333891112679,101.526236354639,0.0178702677187547,0,0,0,0,0,1
RA-ALA,638,702,14.8647591132087,10.6185146313807,111.659938576018,0.00509844174793028,0.0138542133858391,0,0,0,0,0
RA-ALA,638,755,15.1104580515739,10.9400939256616,112.888863953452,0.0112498075032909,0.0134119258263456,0,0,0,0,0
RA-ALA,638,808,23.1264172745311,16.7850626750699,134.050817281514,0.0259926628012663,0.00305808913557816,0,0,0,0,0
RA-ALA,855,919,20.4331635817367,14.8674959365084,150.016207583098,0.00528061639002438,0,0,0,0,0,1
RA-ALA,855,972,12.5514416462592,8.17746958397413,80.7702646828832,0.0924204666693781,0,0,0,0,0,1
RA-ALA,855,1025,15.4700973866341,10.221256958951,84.7877468990895,0.0165669868013574,0,0,0,0,0,1
RA-ALA,948,1012,10.9313609298401,8.97921933541251,96.5865526201693,0.00264547323116751,0,0,0,0,0,1
RA-ALA,948,1065,12.9931592340415,9.46504401907752,98.6135628598608,0.00691491310205134,0,0,0,0,0,1
RA-ALA,948,1118,15.5539349013459,10.9497472753672,100.41143987378,0.000624242590115336,0,0,0,0,0,1
RA-ALA,1041,1105,12.5052171114718,9.4083593353988,95.7665035660175,0,0,0,0,0,0,1
RA-ALA,1041,1158,108.546274090123,15.9571897582192,152.246966239046,0.0154309131716875,0.834812250826322,0.0384615384615385,0,0,0,0
RA-ALA,1041,1211,15.8018101092693,11.5625296215485,104.017891951799,1.1193917323623e-05,0,0,0,0,0,1
RA-ALA,1103,1167,7.05085178826035,5.90269331588075,58.7603409963748,0.00862782713329787,0,0,0,0,0,1
RA-ALA,1103,1220,7.89211314077143,5.90487627797198,56.8942875463778,0.0315040925959071,0,0,0,0,0,1
RA-ALA,1103,1273,8.40917146919151,6.11207531094764,60.2248178023847,0.00331737872102749,0,0,0,0,0,1
RA-ALA,1227,1291,15.7966813033688,11.2854015419929,104.997338181976,0.00153104103522934,0,0,0,0,0,1
RA-ALA,1227,1344,22.9604752473979,15.117220525631,134.695212675759,0.0132175867629724,0,0,0,0,0,1
RA-ALA,1227,1397,13.5267483807815,10.550198554597,102.806445298088,0,0,0,0,0,0,1
RA-ALA,1475,1539,7.6568105357582,6.53816576068857,63.5748014871681,0,0,0,0,0,0,1
RA-ALA,1475,1592,8.11030880794324,6.31636581501237,56.2639769291699,0,0,0,0,0,0,1
RA-ALA,1475,1645,7.46398302362481,6.02451323590563,56.6048758138265,0,0,0,0,0,0,1
RA-ALA,2312,2376,10.8568623219723,8.0339218724213,75.3664047251845,0.000739892542401339,0,0,0,0,0,1
RA-ALA,2312,2429,11.6223535222251,8.5763422120382,79.3883069023077,0.00626507297681215,0,0,0,0,0,1
RA-ALA,2312,2482,13.8236435173246,9.10697454323643,79.6187578322373,0.00441007374877184,0,0,0,0,0,1
RA-ALA,2560,2624,10.9225705760482,7.80898721587387,76.7961727878904,0.00632664665797559,0,0,0,0,0,1
RA-ALA,2560,2677,37.7407076719822,16.7105648350554,148.05372423223,0.020677164540075,0.112243847294786,0,0,0,0,0
RA-ALA,2560,2730,14.5502106618222,9.61254196838644,79.8600676226237,0.00585243558122014,0,0,0,0,0,1
Energy-A*,483,547,21.2527116435581,14.0268246878676,100.851736712908,0.54947002284923,0,0,0,0,0,1
Energy-A*,483,600,21.2527116435581,14.0268246878676,100.851736712908,0.54947002284923,0,0,0,0,0,1
Energy-A*,483,653,21.2527116435581,14.0268246878676,100.851736712908,0.54947002284923,0,0,0,0,0,1
Energy-A*,638,702,163.347328614456,10.2158841628231,106.620041617642,0,1.45806150682916,0.0555555555555556,0,0,0,0
Energy-A*,638,755,163.347328614456,10.2158841628231,106.620041617642,0,1.45806150682916,0.0555555555555556,0,0,0,0
Energy-A*,638,808,163.347328614456,10.2158841628231,106.620041617642,0,1.45806150682916,0.0555555555555556,0,0,0,0
Energy-A*,855,919,116.574390981121,8.79033418480172,83.0001275630498,0.169302246363636,0,0,1.04511278195489,0,0,0
Energy-A*,855,972,116.574390981121,8.79033418480172,83.0001275630498,0.169302246363636,0,0,1.04511278195489,0,0,0
Energy-A*,855,1025,116.574390981121,8.79033418480172,83.0001275630498,0.169302246363636,0,0,1.04511278195489,0,0,0
Energy-A*,948,1012,24.0285396755842,8.11719732339624,91.0482640523603,0.00418925317058193,0.109763473616478,0.041343669250646,0,0,0,0
Energy-A*,948,1065,24.0285396755842,8.11719732339624,91.0482640523603,0.00418925317058193,0.109763473616478,0.041343669250646,0,0,0,0
Energy-A*,948,1118,24.0285396755842,8.11719732339624,91.0482640523603,0.00418925317058193,0.109763473616478,0.041343669250646,0,0,0,0
Energy-A*,1041,1105,326.947438631726,9.22050665173476,84.4196363215675,0.000454171750552154,2.23827907722924,0.923076923076923,0,0,0,0
Energy-A*,1041,1158,326.947438631726,9.22050665173476,84.4196363215675,0.000454171750552154,2.23827907722924,0.923076923076923,0,0,0,0
Energy-A*,1041,1211,326.947438631726,9.22050665173476,84.4196363215675,0.000454171750552154,2.23827907722924,0.923076923076923,0,0,0,0
Energy-A*,1103,1167,62.4774299296776,5.93385287764569,55.6772671405548,0.00811680597028711,0.48892488613703,0.0710594315245477,0,0,0,0
Energy-A*,1103,1220,62.4774299296776,5.93385287764569,55.6772671405548,0.00811680597028711,0.48892488613703,0.0710594315245477,0,0,0,0
Energy-A*,1103,1273,62.4774299296776,5.93385287764569,55.6772671405548,0.00811680597028711,0.48892488613703,0.0710594315245477,0,0,0,0
Energy-A*,1227,1291,12.1233890860294,10.3032629189982,111.436477894095,0,0,0,0,0,0,1
Energy-A*,1227,1344,12.1233890860294,10.3032629189982,111.436477894095,0,0,0,0,0,0,1
Energy-A*,1227,1397,12.1233890860294,10.3032629189982,111.436477894095,0,0,0,0,0,0,1
Energy-A*,1475,1539,10.5319785047296,8.9848335450685,79.9761556593677,0,0,0,0,0,0,1
Energy-A*,1475,1592,10.5319785047296,8.9848335450685,79.9761556593677,0,0,0,0,0,0,1
Energy-A*,1475,1645,10.5319785047296,8.9848335450685,79.9761556593677,0,0,0,0,0,0,1
Energy-A*,2312,2376,12.4447663164459,8.46304862906453,80.8136758756369,0.241069949901284,0,0,0,0,0,1
Energy-A*,2312,2429,12.4447663164459,8.46304862906453,80.8136758756369,0.241069949901284,0,0,0,0,0,1
Energy-A*,2312,2482,12.4447663164459,8.46304862906453,80.8136758756369,0.241069949901284,0,0,0,0,0,1
Energy-A*,2560,2624,27.4538565399466,8.49204585676245,77.9382152958599,0.0709719422814027,0.166743106978164,0,0,0,0,0
Energy-A*,2560,2677,27.4538565399466,8.49204585676245,77.9382152958599,0.0709719422814027,0.166743106978164,0,0,0,0,0
Energy-A*,2560,2730,27.4538565399466,8.49204585676245,77.9382152958599,0.0709719422814027,0.166743106978164,0,0,0,0,0
Informed-RRT*,483,547,298.003814920212,13.7728347140951,106.889570492101,0.186454374309645,2.22121274604531,0,0.55,0,0,0
Informed-RRT*,483,600,14.1181013434549,8.93778926364935,88.5862481781604,0.244360241951907,0,0,0,0,0,1
Informed-RRT*,483,653,15.4171120605485,10.676324160829,105.670764223135,0.178793029472613,0,0,0,0,0,1
Informed-RRT*,638,702,247.464467918013,9.35981002657458,109.131802903723,0.0299809227431196,2.23551294999524,0.111111111111111,0.020671834625323,0.00165827399975136,0,0
Informed-RRT*,638,755,247.464467918013,9.35981002657458,109.131802903723,0.0299809227431196,2.23551294999524,0.111111111111111,0.020671834625323,0.00165827399975136,0,0
Informed-RRT*,638,808,247.464467918013,9.35981002657458,109.131802903723,0.0299809227431196,2.23551294999524,0.111111111111111,0.020671834625323,0.00165827399975136,0,0
Informed-RRT*,855,919,12.6048181863127,9.95596749157025,99.1077878098506,0.00629582501003475,0,0,0,0,0,1
Informed-RRT*,855,972,39.9350838995294,9.83381279559203,86.4231639026442,0.0410316749036845,0.0342461375766091,0.0294117647058824,0.205128205128205,0,0,0
Informed-RRT*,855,1025,98.7499811559403,12.6835171060543,114.15410316528,0.139439512733271,0.0635778422302039,0.133333333333333,0.6,0,0,0
Informed-RRT*,948,1012,43.023313441915,19.1814567777571,153.021363786084,0.0112074556145535,0.0303945515761175,0,0.131578947368421,0,0,0
Informed-RRT*,948,1065,80.7146612155905,12.5877285095871,132.377128340726,0.0170889189341884,0,0,0.65,0,0,0
Informed-RRT*,948,1118,31.9429763495697,11.3180911798893,116.699936712947,0.0167238991196038,0,0,0.172413793103448,0,0,0
Informed-RRT*,1041,1105,216.387427191812,6.81273540827646,69.3828678263447,0,1.93492625249324,0.155038759689923,0,0,0,0
Informed-RRT*,1041,1158,216.387427191812,6.81273540827646,69.3828678263447,0,1.93492625249324,0.155038759689923,0,0,0,0
Informed-RRT*,1041,1211,216.387427191812,6.81273540827646,69.3828678263447,0,1.93492625249324,0.155038759689923,0,0,0,0
Informed-RRT*,1103,1167,62.4774299296776,5.93385287764569,55.6772671405548,0.00811680597028711,0.48892488613703,0.0710594315245477,0,0,0,0
Informed-RRT*,1103,1220,62.4774299296776,5.93385287764569,55.6772671405548,0.00811680597028711,0.48892488613703,0.0710594315245477,0,0,0,0
Informed-RRT*,1103,1273,62.4774299296776,5.93385287764569,55.6772671405548,0.00811680597028711,0.48892488613703,0.0710594315245477,0,0,0,0
Informed-RRT*,1227,1291,66.623670163483,11.2929875310122,125.36135568022,0.106642556730551,0,0,0.513513513513514,0,0,0
Informed-RRT*,1227,1344,1126.75402668859,22.9490584120972,129.861461239104,0.0135430770143136,10.7529803485143,0.0344827586206897,0.2,0,0,0
Informed-RRT*,1227,1397,2220.00956399149,19.5266543728854,119.632281839746,0.00643056034609244,21.4369695825668,0.114079195474544,0.387096774193548,0,0,0
Informed-RRT*,1475,1539,9.63667708777805,7.23797750765228,65.51020517092,2.97152810840509e-07,0,0,0,0,0,1
Informed-RRT*,1475,1592,9.9516881696477,7.596137242047,63.7911074166824,0.000231219708813802,0,0,0,0,0,1
Informed-RRT*,1475,1645,635.137307563922,9.47872148441441,68.7655317106269,0,6.14614617896731,0.0645161290322581,0,0,0,0
Informed-RRT*,2312,2376,125.067051778505,9.15157739687103,93.6021719146955,0.0454922808380126,0.046622477153123,0.027027027027027,1.04761904761905,0,0,0
Informed-RRT*,2312,2429,36.3212871661697,7.54554167120196,76.2545488178639,0.0108096680436228,0,0,0.266666666666667,0,0,0
Informed-RRT*,2312,2482,69.1501996462224,8.81055126236944,89.2991732261517,0.0130510253430262,0.47728946717611,0.0952380952380952,0,0,0,0
Informed-RRT*,2560,2624,25.2915147875278,9.13222638800016,91.3086833948442,0.0176684138044616,0.132078846403944,0,0,0,0,0
Informed-RRT*,2560,2677,32.4380909151407,13.9615693783768,129.497896275572,0.00877003870121443,0.148137972427385,0,0,0,0,0
Informed-RRT*,2560,2730,1140.19456929542,13.2953815308512,102.582716592395,0.0528712557715658,11.1373362758473,0.0652173913043478,0,0,0,0
ST-EA*,483,547,158.184627145802,7.41361747514698,78.8563670273267,0.966555130401721,0.943854284778441,0.182170542635659,0.219638242894058,0.058820149439274,0,0
ST-EA*,483,600,158.184627145802,7.41361747514698,78.8563670273267,0.966555130401721,0.943854284778441,0.182170542635659,0.219638242894058,0.058820149439274,0,0
ST-EA*,483,653,158.184627145802,7.41361747514698,78.8563670273267,0.966555130401721,0.943854284778441,0.182170542635659,0.219638242894058,0.058820149439274,0,0
ST-EA*,638,702,247.464467918013,9.35981002657458,109.131802903723,0.0299809227431196,2.23551294999524,0.111111111111111,0.020671834625323,0.00165827399975136,0,0
ST-EA*,638,755,247.464467918013,9.35981002657458,109.131802903723,0.0299809227431196,2.23551294999524,0.111111111111111,0.020671834625323,0.00165827399975136,0,0
ST-EA*,638,808,247.464467918013,9.35981002657458,109.131802903723,0.0299809227431196,2.23551294999524,0.111111111111111,0.020671834625323,0.00165827399975136,0,0
ST-EA*,855,919,10.0800733444076,8.38453784396089,81.5453060984331,0.0127902875457885,0,0,0,0,0,1
ST-EA*,855,972,10.0800733444076,8.38453784396089,81.5453060984331,0.0127902875457885,0,0,0,0,0,1
ST-EA*,855,1025,10.0800733444076,8.38453784396089,81.5453060984331,0.0127902875457885,0,0,0,0,0,1
ST-EA*,948,1012,13.4536070337272,11.7463889873837,92.9365036966795,0.00228420665150018,0,0,0,0,0,1
ST-EA*,948,1065,13.4536070337272,11.7463889873837,92.9365036966795,0.00228420665150018,0,0,0,0,0,1
ST-EA*,948,1118,13.4536070337272,11.7463889873837,92.9365036966795,0.00228420665150018,0,0,0,0,0,1
ST-EA*,1041,1105,216.387427191812,6.81273540827646,69.3828678263447,0,1.93492625249324,0.155038759689923,0,0,0,0
ST-EA*,1041,1158,216.387427191812,6.81273540827646,69.3828678263447,0,1.93492625249324,0.155038759689923,0,0,0,0
ST-EA*,1041,1211,216.387427191812,6.81273540827646,69.3828678263447,0,1.93492625249324,0.155038759689923,0,0,0,0
ST-EA*,1103,1167,9.15067694141527,7.72377541334994,63.8900232926744,0.00114320372903833,0,0,0,0,0,1
ST-EA*,1103,1220,9.15067694141527,7.72377541334994,63.8900232926744,0.00114320372903833,0,0,0,0,0,1
ST-EA*,1103,1273,9.15067694141527,7.72377541334994,63.8900232926744,0.00114320372903833,0,0,0,0,0,1
ST-EA*,1227,1291,11.3935111413448,9.66921226716914,99.9372027514302,0,0,0,0,0,0,1
ST-EA*,1227,1344,11.3935111413448,9.66921226716914,99.9372027514302,0,0,0,0,0,0,1
ST-EA*,1227,1397,11.3935111413448,9.66921226716914,99.9372027514302,0,0,0,0,0,0,1
ST-EA*,1475,1539,8.33604935182957,6.90735351594626,60.0870773257495,0,0,0,0,0,0,1
ST-EA*,1475,1592,8.33604935182957,6.90735351594626,60.0870773257495,0,0,0,0,0,0,1
ST-EA*,1475,1645,8.33604935182957,6.90735351594626,60.0870773257495,0,0,0,0,0,0,1
ST-EA*,2312,2376,11.0575176493341,9.48035307267035,80.6106112124641,0.000783859382165446,0,0,0,0,0,1
ST-EA*,2312,2429,11.0575176493341,9.48035307267035,80.6106112124641,0.000783859382165446,0,0,0,0,0,1
ST-EA*,2312,2482,11.0575176493341,9.48035307267035,80.6106112124641,0.000783859382165446,0,0,0,0,0,1
ST-EA*,2560,2624,96.9572011829744,6.60942500416323,65.9976583103289,0.315106604393536,0.650196005786984,0.122739018087855,0.0671834625322997,0.0263488100824227,0,0
ST-EA*,2560,2677,96.9572011829744,6.60942500416323,65.9976583103289,0.315106604393536,0.650196005786984,0.122739018087855,0.0671834625322997,0.0263488100824227,0,0
ST-EA*,2560,2730,96.9572011829744,6.60942500416323,65.9976583103289,0.315106604393536,0.650196005786984,0.122739018087855,0.0671834625322997,0.0263488100824227,0,0
Greedy,483,547,3415.38837842326,45.6144575936359,176.42408284087,0.554166886235424,30.4141948742511,2.42156991090662,0.632518796992481,0.000550488191140902,0,0
