ConfigID,ConfigName,VariedComponent,Multiplier,Algorithm,SuccessfulPaths,FeasibleCount,FeasibilityPct,MedianJ,Q1J,Q3J,MedianEnergyWh,MedianFlightTimeS,MedianDynamicRisk,MedianPenalty,MedianPlanningTimeS
1,Base,None,1,RA-ALA,10,9,90,11.718289020656,10.8732893854913,15.5637007558288,9.19378933540566,96.1765280930934,0.00387195748954889,0,214.17880725
1,Base,None,1,Energy-A*,10,4,40,25.7411981077654,14.6467526482239,103.05015071826,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
1,Base,None,1,Informed-RRT*,10,2,20,64.5505500465803,29.7244644511246,193.557333338485,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
1,Base,None,1,ST-EA*,6,6,60,10.5687954968708,9.38302604216335,11.3095127683421,8.93244545831562,81.0779586554486,0.00096353155560189,0,3.04091475
1,Base,None,1,Greedy,10,0,0,3336.27562729306,2263.64517410808,7218.28266546324,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
2,Energy 0.5x,Energy,0.5,RA-ALA,10,8,80,11.0875766990134,6.9021466166725,12.9271943099077,9.68418137985403,97.3522323934357,0.00557077809654002,0,215.9609287
2,Energy 0.5x,Energy,0.5,Energy-A*,10,4,40,21.5888873127257,9.71975632634129,99.0120437892536,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
2,Energy 0.5x,Energy,0.5,Informed-RRT*,10,2,20,60.2438399444159,23.9021974584049,189.858610385773,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
2,Energy 0.5x,Energy,0.5,ST-EA*,6,6,60,6.09093967830656,5.43387993469201,6.37614907002902,8.90507978644393,81.253394974293,0.000596143602323066,0,4.66349875
2,Energy 0.5x,Energy,0.5,Greedy,10,0,0,3309.81424654003,2231.33580506009,7183.64236307828,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
3,Energy 1.5x,Energy,1.5,RA-ALA,10,10,100,17.9690313571015,16.0515500240849,19.748009177397,9.26709178133516,97.2940255681292,0.00413358750337408,0,211.5819036
3,Energy 1.5x,Energy,1.5,Energy-A*,10,4,40,29.9830017279099,19.978049993467,107.088257647266,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
3,Energy 1.5x,Energy,1.5,Informed-RRT*,10,2,20,68.8572601487448,35.5467314438443,197.256056291198,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
3,Energy 1.5x,Energy,1.5,ST-EA*,6,6,60,14.8125525116515,13.2007404049861,16.1205115026143,8.71643344271978,80.6831909952726,0.000964506430503605,0,2.41209375
3,Energy 1.5x,Energy,1.5,Greedy,10,0,0,3362.7370080461,2295.95454315606,7252.92296784819,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
4,Time 0.5x,Time,0.5,RA-ALA,10,9,90,11.4735969854178,10.3884521807913,14.9469157953677,9.18715998971998,96.3934677558972,0.00477904448735459,0,214.70371655
4,Time 0.5x,Time,0.5,Energy-A*,10,4,40,25.3891429424566,14.2891560187033,102.732778166354,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
4,Time 0.5x,Time,0.5,Informed-RRT*,10,2,20,64.1733862490371,29.2797275615718,193.243009614117,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
4,Time 0.5x,Time,0.5,ST-EA*,6,6,60,10.2397190603117,9.08779476405698,10.7598228919975,8.91159818021357,80.95459704062,0.00171468006517097,0,3.0464225
4,Time 0.5x,Time,0.5,Greedy,10,0,0,3335.44639434982,2262.6680971758,7217.30405221309,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
5,Time 1.5x,Time,1.5,RA-ALA,10,9,90,12.9053444746142,10.7514036364874,17.2210105186982,9.54926301924414,97.4333971426212,0.00478014224638449,0,213.3800497
5,Time 1.5x,Time,1.5,Energy-A*,10,4,40,26.0932532730742,15.0043492777446,103.367523270166,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
5,Time 1.5x,Time,1.5,Informed-RRT*,10,2,20,64.9277138441236,30.1692013406773,193.871657062854,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
5,Time 1.5x,Time,1.5,ST-EA*,6,6,60,10.9060994638341,9.66762539213882,11.6766939250797,8.93198516010489,81.0727882033443,0.000963938365027082,0,3.0292665
5,Time 1.5x,Time,1.5,Greedy,10,0,0,3337.10486023631,2264.62225104035,7219.26127871338,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
6,Climb 0.5x,Climb,0.5,RA-ALA,10,8,80,13.0492657064381,10.2385146448474,18.7897903420652,9.48354604424167,95.78013347162,0.0061158486106965,0,211.0048108
6,Climb 0.5x,Climb,0.5,Energy-A*,10,4,40,25.5091242489934,14.1988191162066,102.717117565447,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
6,Climb 0.5x,Climb,0.5,Informed-RRT*,10,2,20,64.0834931091273,28.1871274560743,193.238123551729,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
6,Climb 0.5x,Climb,0.5,ST-EA*,6,6,60,10.166517122331,8.97522203781159,10.8850763127923,8.95580863309853,81.0695554358213,0.00171409085212395,0,2.4280387
6,Climb 0.5x,Climb,0.5,Greedy,10,0,0,3328.91203717954,2255.52277126106,7206.53120733505,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
7,Climb 1.5x,Climb,1.5,RA-ALA,10,9,90,15.0638177912614,12.7272138781822,17.7162565630903,9.77472169359367,97.0349173409014,0.00419576180989477,0,224.8515991
7,Climb 1.5x,Climb,1.5,Energy-A*,10,4,40,25.9732719665375,15.0946861802413,103.383183871073,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
7,Climb 1.5x,Climb,1.5,Informed-RRT*,10,2,20,65.0176069840334,31.2618014461749,193.876543125241,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
7,Climb 1.5x,Climb,1.5,ST-EA*,6,6,60,11.0152103210975,9.82518182935208,11.7560174487354,8.93244545831562,81.0779586554486,0.00096353155560189,0,3.9939872
7,Climb 1.5x,Climb,1.5,Greedy,10,0,0,3343.63921740659,2271.76757695509,7230.03412359142,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
8,Risk 0.5x,Risk,0.5,RA-ALA,10,9,90,12.2627465571522,10.8255196070924,15.1288238456643,9.00590194943434,95.633460433132,0.00435726183636466,0,216.91576045
8,Risk 0.5x,Risk,0.5,Energy-A*,10,4,40,25.5532951191354,13.7188821968501,102.405121286933,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
