environment_id,environment_seed,algorithm,runs,success_count,feasibility_proportion,median_J,median_energy_Wh,median_penalty
1,483,RA-ALA,3,3,1,11.582692246784,8.37556242093647,0
1,483,Energy-A*,1,1,1,14.7749655080206,7.3899305218494,0
1,483,Informed-RRT*,3,0,0,NaN,NaN,9.45473316243918
1,483,ST-EA*,1,0,0,NaN,NaN,NaN
1,483,Greedy,1,0,0,NaN,NaN,32.7913140412865
2,638,RA-ALA,3,0,0,NaN,NaN,0.00731132783877769
2,638,Energy-A*,1,0,0,NaN,NaN,1.58812792378808
2,638,Informed-RRT*,3,0,0,NaN,NaN,NaN
2,638,ST-EA*,1,0,0,NaN,NaN,NaN
2,638,Greedy,1,0,0,NaN,NaN,20.4493528062792
3,855,RA-ALA,3,3,1,11.3820213369116,8.42830672182967,0
3,855,Energy-A*,1,1,1,8.64679961812307,7.00956783670042,0
3,855,Informed-RRT*,3,1,0.333333333333333,16.8274605799174,8.96193621575657,0.250000000000002
3,855,ST-EA*,1,1,1,8.61438446740645,7.01149682212551,0
3,855,Greedy,1,0,0,NaN,NaN,31.4527723337997
4,948,RA-ALA,3,3,1,8.35982543324578,6.8562078496853,0
4,948,Energy-A*,1,1,1,9.22531407649912,7.54937834441255,0
4,948,Informed-RRT*,3,1,0.333333333333333,13.9221295136818,9.10774866406403,0.322999581064098
4,948,ST-EA*,1,1,1,8.71169572786279,7.08295012393281,0
4,948,Greedy,1,0,0,NaN,NaN,19.4396008400659
5,1041,RA-ALA,3,1,0.333333333333333,11.6353777289472,8.59263336384759,0.869523440304532
5,1041,Energy-A*,1,0,0,NaN,NaN,3.28979428200548
5,1041,Informed-RRT*,3,0,0,NaN,NaN,NaN
5,1041,ST-EA*,1,0,0,NaN,NaN,NaN
5,1041,Greedy,1,0,0,NaN,NaN,39.7490046130998
6,1103,RA-ALA,3,3,1,7.49221832334164,5.784049788273,0
6,1103,Energy-A*,1,0,0,NaN,NaN,NaN
6,1103,Informed-RRT*,3,1,0.333333333333333,11.4894694371013,7.3806904562533,0.3875
6,1103,ST-EA*,1,1,1,7.6410784393581,6.13704758784093,0
6,1103,Greedy,1,0,0,NaN,NaN,129.340140702427
7,1227,RA-ALA,3,3,1,9.33385288672612,7.53791665506141,0
7,1227,Energy-A*,1,1,1,9.34489781468561,7.66954577132874,0
7,1227,Informed-RRT*,3,2,0.666666666666667,13.5309587320002,9.16900884794391,0
7,1227,ST-EA*,1,1,1,9.04142213045465,7.39430193936274,0
7,1227,Greedy,1,0,0,NaN,NaN,25.1863032396396
8,1475,RA-ALA,3,3,1,7.14113683204756,5.54936213226354,0
8,1475,Energy-A*,1,1,1,8.4088624938004,6.45020343104816,0
8,1475,Informed-RRT*,3,3,1,14.1491643641803,8.58633663030838,0
8,1475,ST-EA*,1,1,1,7.44078769258259,5.92553046054186,0
8,1475,Greedy,1,0,0,NaN,NaN,90.9657303720952
9,2312,RA-ALA,3,3,1,9.49280161636249,7.13428837184972,0
9,2312,Energy-A*,1,1,1,11.2470802029295,7.19065472027393,0
9,2312,Informed-RRT*,3,1,0.333333333333333,11.9683392919414,7.97613185911534,0.205128205128205
9,2312,ST-EA*,1,1,1,8.55357460576997,6.91453295079993,0
9,2312,Greedy,1,0,0,NaN,NaN,81.6463882818016
10,2560,RA-ALA,3,2,0.666666666666667,12.007008716284,7.95003168115675,0
10,2560,Energy-A*,1,0,0,NaN,NaN,0.166743106978164
10,2560,Informed-RRT*,3,0,0,NaN,NaN,NaN
10,2560,ST-EA*,1,0,0,NaN,NaN,NaN
10,2560,Greedy,1,0,0,NaN,NaN,20.8102698022928
