environment_id,env_seed,run_within_environment,algorithm_seed,algorithm,wall_clock_s,evaluatePath_calls,search_fitness_calls,rescueA_adopted,rescueB_adopted,search_time_s,topk_time_s,recovery_time_s,actual_iterations_or_nodes,planner_success,budget_reached,timed_out,exception,path_points,J,penalty_total,final_feasible,failure_reason
3,855,1,963,Greedy,0.1098379,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,42,3257.16287616287,31.7981356013388,0,final_hard_constraint_violation
3,855,2,972,RA-ALA,224.0853008,7659,3240,0,0,216.4756909,0.6108515,0,80,1,1,0,0,10,12.5514416462592,0,1,none
3,855,2,983,Energy-A*,4.6199752,4408,0,0,0,NaN,NaN,NaN,274,1,0,0,0,58,116.574390981121,1.04511278195489,0,final_hard_constraint_violation
3,855,2,994,Informed-RRT*,15.0803887,7226,0,0,0,NaN,NaN,NaN,1020,1,1,1,0,29,39.9350838995294,0.268786107410697,0,timeout_without_feasible_output
3,855,2,1005,ST-EA*,3.257112,3217,0,0,0,NaN,NaN,NaN,135,1,0,0,0,56,10.0800733444076,0,1,none
3,855,2,1016,Greedy,0.110103,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,42,3257.16287616287,31.7981356013388,0,final_hard_constraint_violation
3,855,3,1025,RA-ALA,233.9090283,7659,3240,0,0,226.2378523,0.6259535,0,80,1,1,0,0,10,15.4700973866341,0,1,none
3,855,3,1036,Energy-A*,4.5886383,4408,0,0,0,NaN,NaN,NaN,274,1,0,0,0,58,116.574390981121,1.04511278195489,0,final_hard_constraint_violation
3,855,3,1047,Informed-RRT*,15.0825712,7273,0,0,0,NaN,NaN,NaN,1081,1,1,1,0,35,98.7499811559403,0.796911175563537,0,timeout_without_feasible_output
3,855,3,1058,ST-EA*,3.259164,3217,0,0,0,NaN,NaN,NaN,135,1,0,0,0,56,10.0800733444076,0,1,none
3,855,3,1069,Greedy,0.1087495,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,42,3257.16287616287,31.7981356013388,0,final_hard_constraint_violation
4,948,1,1012,RA-ALA,212.0918494,17814,3240,0,0,193.8156632,0.8522491,0,80,1,1,0,0,10,10.9313609298401,0,1,none
4,948,1,1023,Energy-A*,15.0058994,14313,0,0,0,NaN,NaN,NaN,1062,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
4,948,1,1034,Informed-RRT*,15.0958011,7317,0,0,0,NaN,NaN,NaN,1047,1,1,1,0,36,43.023313441915,0.161973498944539,0,timeout_without_feasible_output
4,948,1,1045,ST-EA*,2.0025562,1969,0,0,0,NaN,NaN,NaN,83,1,0,0,0,55,13.4536070337272,0,1,none
