Configuration,ChangedComponent,Multiplier,Algorithm,N,EvaluatedN,FeasibleN,FeasibilityRate,MedianJAllEvaluated,MedianJFeasible,Rank
Time 1.5x,Time,1.5,RA-ALA,30,30,24,0.8,10.1444676725677,9.69558775101936,1
Time 1.5x,Time,1.5,ST-EA*,10,6,6,0.6,8.93413128140551,8.93413128140551,2
Time 1.5x,Time,1.5,Energy-A*,10,9,6,0.6,11.6089728167878,9.67257939771909,3
Time 1.5x,Time,1.5,Informed-RRT*,30,21,9,0.3,36.5046839141738,14.3062795850717,4
Time 1.5x,Time,1.5,Greedy,10,10,0,0,3253.59239241707,NaN,5
Climb 0.5x,Climb,0.5,RA-ALA,30,30,24,0.8,8.98099589141116,8.65390523996997,1
Climb 0.5x,Climb,0.5,ST-EA*,10,6,6,0.6,8.13756471236153,8.13756471236153,2
Climb 0.5x,Climb,0.5,Energy-A*,10,9,6,0.6,10.7982947582271,8.83475745385822,3
Climb 0.5x,Climb,0.5,Informed-RRT*,30,21,9,0.3,34.8718490047169,11.6871915421277,4
Climb 0.5x,Climb,0.5,Greedy,10,10,0,0,3245.71808571281,NaN,5
Climb 1.5x,Climb,1.5,RA-ALA,30,30,24,0.8,10.7803352786527,9.85792377620871,1
Climb 1.5x,Climb,1.5,ST-EA*,10,6,6,0.6,9.03039436081489,9.03039436081489,2
Climb 1.5x,Climb,1.5,Energy-A*,10,9,6,0.6,11.695865647632,9.73545443732651,3
Climb 1.5x,Climb,1.5,Informed-RRT*,30,21,9,0.3,37.4352274190068,15.8881112045317,4
Climb 1.5x,Climb,1.5,Greedy,10,10,0,0,3260.44526593986,NaN,5
Risk 0.5x,Risk,0.5,RA-ALA,30,30,24,0.8,9.79168953703632,9.29334284666334,1
Risk 0.5x,Risk,0.5,ST-EA*,10,6,6,0.6,8.57006378056944,8.57006378056944,2
Risk 0.5x,Risk,0.5,Energy-A*,10,9,6,0.6,10.0295455201624,9.28510594559237,3
Risk 0.5x,Risk,0.5,Informed-RRT*,30,21,9,0.3,36.0953063697357,13.9022358141309,4
Risk 0.5x,Risk,0.5,Greedy,10,10,0,0,3251.91780332253,NaN,5
Risk 1.5x,Risk,1.5,RA-ALA,30,30,24,0.8,9.80210345014003,9.3180144100414,1
Risk 1.5x,Risk,1.5,ST-EA*,10,6,6,0.6,8.59789529260698,8.59789529260698,2
Risk 1.5x,Risk,1.5,Energy-A*,10,9,6,0.6,12.4646148856967,9.28510594559237,3
Risk 1.5x,Risk,1.5,Informed-RRT*,30,21,9,0.3,36.211770053988,13.9420232132327,4
Risk 1.5x,Risk,1.5,Greedy,10,10,0,0,3254.24554833014,NaN,5
Penalty 0.5x,Penalty,0.5,RA-ALA,30,30,24,0.8,9.79689649358818,9.30567862835237,1
Penalty 0.5x,Penalty,0.5,ST-EA*,10,6,6,0.6,8.58397953658821,8.58397953658821,2
Penalty 0.5x,Penalty,0.5,Energy-A*,10,9,6,0.6,11.2470802029295,9.28510594559237,3
Penalty 0.5x,Penalty,0.5,Informed-RRT*,30,21,9,0.3,23.6535382118618,13.9221295136818,4
Penalty 0.5x,Penalty,0.5,Greedy,10,10,0,0,1646.97951644918,NaN,5
Penalty 1.5x,Penalty,1.5,RA-ALA,30,30,24,0.8,9.96871629311695,9.30567862835237,1
Penalty 1.5x,Penalty,1.5,ST-EA*,10,6,6,0.6,8.58397953658821,8.58397953658821,2
Penalty 1.5x,Penalty,1.5,Energy-A*,10,9,6,0.6,11.2470802029295,9.28510594559237,3
Penalty 1.5x,Penalty,1.5,Informed-RRT*,30,21,9,0.3,48.6535382118619,13.9221295136818,4
Penalty 1.5x,Penalty,1.5,Greedy,10,10,0,0,4859.18383520349,NaN,5
