case_id,environment_id,environment_seed,run_within_environment,algorithm_seed,spacing_m,J,energy_Wh,arrival_time_s,dynamic_risk,penalty_total,penalty_static,penalty_scene_entry,penalty_nfz,feasible,static_violation,scene_entry_violation,nfz_violation,evaluation_time_s,total_collision_subsamples,total_nfz_subsamples,path_points,run_status
7,3,855,1,919,0.75,15.5351676096806,10.4688215699344,109.778947290673,0.0149783377903816,0,0,0,0,1,0,0,0,0.2674686,2059,2059,10,ok
7,3,855,1,919,0.375,15.5350288169389,10.4686765576778,109.775576875694,0.0149817684210275,0,0,0,0,1,0,0,0,0.5197151,4115,4115,10,ok
8,3,855,2,972,6,7.26684814951484,6.46032873174007,85.6806796934574,0,0,0,0,0,1,0,0,0,0.0300949,210,210,10,ok
8,3,855,2,972,3,7.26602412274567,6.45954201719935,85.6762022260435,0,0,0,0,0,1,0,0,0,0.0574964,419,419,10,ok
8,3,855,2,972,1.5,7.26876233397324,6.4622680600188,85.6776624350177,0,0,0,0,0,1,0,0,0,0.1093695,832,832,10,ok
8,3,855,2,972,0.75,7.26804688779822,6.46161315814858,85.6703971184415,0,0,0,0,0,1,0,0,0,0.2157066,1659,1659,10,ok
8,3,855,2,972,0.375,7.26788866072739,6.46144742460705,85.6712978949264,0,0,0,0,0,1,0,0,0,0.4148045,3313,3313,10,ok
9,3,855,3,1025,6,11.3552866785818,8.40378222042709,95.1125710951261,0.00064786460908738,0,0,0,0,1,0,0,0,0.0328889,234,234,10,ok
9,3,855,3,1025,3,11.3699755044358,8.41731609399804,95.2669326351213,0.00063472522073152,0,0,0,0,1,0,0,0,0.0632393,464,464,10,ok
9,3,855,3,1025,1.5,11.3868007808632,8.43272689428405,95.4458694886768,0.000627058790246214,0,0,0,0,1,0,0,0,0.1229602,924,924,10,ok
9,3,855,3,1025,0.75,11.3820213369116,8.42830672182967,95.3962387352999,0.000632490601668396,0,0,0,0,1,0,0,0,0.2421221,1842,1842,10,ok
9,3,855,3,1025,0.375,11.3825025266771,8.42874056337183,95.4019711054748,0.000632448448853431,0,0,0,0,1,0,0,0,0.4607497,3680,3680,10,ok
10,4,948,1,1012,6,8.15345227643627,6.71082126466304,86.513130062106,3.98817700990855e-05,0,0,0,0,1,0,0,0,0.0289162,199,199,10,ok
10,4,948,1,1012,3,8.15791334060772,6.71473561448326,86.5766902727999,4.15863629781013e-05,0,0,0,0,1,0,0,0,0.0534199,396,396,10,ok
10,4,948,1,1012,1.5,8.15840320364981,6.71526403265615,86.5739591059862,4.00068222417108e-05,0,0,0,0,1,0,0,0,0.1066679,787,787,10,ok
10,4,948,1,1012,0.75,8.15829978489121,6.71512535054084,86.5737965397211,4.36686298008747e-05,0,0,0,0,1,0,0,0,0.2084237,1569,1569,10,ok
10,4,948,1,1012,0.375,8.15771267361063,6.71462381353332,86.5654671013308,4.20524011526867e-05,0,0,0,0,1,0,0,0,0.3978399,3134,3134,10,ok
11,4,948,2,1065,6,8.35196894692726,6.85068312933025,86.747091797925,0.0034209734474374,0,0,0,0,1,0,0,0,0.0274849,199,199,10,ok
11,4,948,2,1065,3,8.33509446487061,6.83397203583869,86.7006115606141,0.00344336812201966,0,0,0,0,1,0,0,0,0.0522304,395,395,10,ok
11,4,948,2,1065,1.5,8.3949058815762,6.88780539115465,87.4457408834529,0.00342023315861729,0,0,0,0,1,0,0,0,0.1041911,785,785,10,ok
11,4,948,2,1065,0.75,8.35982543324578,6.8562078496853,87.0212696096227,0.00342566853403561,0,0,0,0,1,0,0,0,0.2050167,1567,1567,10,ok
11,4,948,2,1065,0.375,8.36037664979145,6.85681894326539,87.0230626717313,0.00341818661217043,0,0,0,0,1,0,0,0,0.3959157,3130,3130,10,ok
12,4,948,3,1118,6,9.26875096580186,7.2486177940161,88.6131233856731,0.0019272862248285,0,0,0,0,1,0,0,0,0.0287522,202,202,10,ok
12,4,948,3,1118,3,9.27321246797619,7.25181753843788,88.7514099963864,0.00193822315782302,0,0,0,0,1,0,0,0,0.0540638,401,401,10,ok
12,4,948,3,1118,1.5,9.27798359486707,7.25571814287755,88.8182887442655,0.00196954311304469,0,0,0,0,1,0,0,0,0.1086804,801,801,10,ok
12,4,948,3,1118,0.75,9.27750436997862,7.25548039279388,88.8059320718881,0.0019556928595471,0,0,0,0,1,0,0,0,0.206739,1598,1598,10,ok
12,4,948,3,1118,0.375,9.27701086483992,7.25502225116223,88.7983538886777,0.0019584716615179,0,0,0,0,1,0,0,0,0.3921869,3190,3190,10,ok
13,5,1041,1,1105,6,11.6085324638347,8.56672952840361,96.2514483691373,8.55748969929185e-05,0,0,0,0,1,0,0,0,0.0390761,273,273,91,ok
13,5,1041,1,1105,3,11.6341861121016,8.59185680819685,96.3034823856848,9.48500639089142e-05,0,0,0,0,1,0,0,0,0.0717807,517,517,91,ok
13,5,1041,1,1105,1.5,11.6319891470316,8.58938038182209,96.3349415985176,9.65801836826759e-05,0,0,0,0,1,0,0,0,0.1309206,971,971,91,ok
13,5,1041,1,1105,0.75,11.6353777289472,8.59263336384759,96.3632050301627,8.65873129914025e-05,0,0,0,0,1,0,0,0,0.2455447,1888,1888,91,ok
13,5,1041,1,1105,0.375,11.6352104250932,8.59248603847173,96.3595000154701,8.76769774173059e-05,0,0,0,0,1,0,0,0,0.4660829,3731,3731,91,ok
14,5,1041,2,1158,6,106.834534437421,13.100944838572,144.062794141057,0.0174007729672321,0.88339502322602,0.0487804878048781,0,0,0,1,0,0,0.0481417,343,343,10,ok
14,5,1041,2,1158,3,104.946014861936,13.098444322454,144.05175310158,0.0174061500213912,0.864535215013557,0.0365853658536584,0,0,0,1,0,0,0.0909576,681,681,10,ok
14,5,1041,2,1158,1.5,107.21026442524,13.0983669849235,143.990682314351,0.0174709170574558,0.887177096550565,0.0426829268292682,0.0131004366812227,0,0,1,1,0,0.1800636,1357,1357,10,ok
14,5,1041,2,1158,0.75,105.451512428028,13.1048079297605,144.089631499926,0.0174057276582073,0.869523440304532,0.0397553516819571,0,0,0,1,0,0,0.3563379,2709,2709,10,ok
14,5,1041,2,1158,0.375,106.51674849476,13.1042433272077,144.084950136654,0.0174076822676323,0.880181641650041,0.0423796939216416,0,0,0,1,0,0,0.6842204,5416,5416,10,ok
15,5,1041,3,1211,6,101.563320246644,9.7101730801468,114.163522552903,0,0.88339502322602,0.0487804878048779,0,0,0,1,0,0,0.0385716,276,276,10,ok
