spacing_m,N,evaluated_N,median_J,median_energy_Wh,median_arrival_time_s,median_dynamic_risk,median_penalty,feasible_rate,static_violation_count,dynamic_violation_count,nfz_violation_count,median_evaluation_time_s,median_subsamples
6,30,30,9.80055638911067,7.43186276777304,91.8309170055155,0.00257524042542944,0,0.866666666666667,2,0,0,0.03515305,227
3,30,30,10.0326385522635,7.39474773787189,91.1554409609884,0.00252495843591926,0,0.8,3,0,0,0.0645674,446
1.5,30,30,10.0299471268734,7.39804831124637,91.0652347991219,0.00258587969332582,0,0.8,3,1,0,0.1235029,855.5
0.75,30,30,9.79689649358818,7.39669852392765,91.0850396372368,0.00253070121840352,0,0.8,3,0,0,0.23471815,1705
0.375,30,30,9.7978518971764,7.3961910326185,91.0802651514115,0.00252203214638281,0,0.8,3,0,0,0.45159755,3384.5
