spacing_m,reference_spacing_m,paired_N,median_relative_J_change,max_relative_J_change,median_relative_energy_change,max_relative_energy_change,median_relative_arrival_change,max_relative_arrival_change,feasibility_agreement,static_status_agreement,dynamic_status_agreement,nfz_status_agreement
6,0.375,30,0.0022039835852375,0.0800417563798905,0.0020566045846961,0.0203860043764172,0.00104566950306231,0.0169817139369251,0.933333333333333,0.966666666666667,1,1
3,0.375,30,0.000424494129290696,0.058055667712617,0.000410265764766218,0.00333199806145295,0.000426775577817147,0.00370535236542489,1,1,1,1
1.5,0.375,30,0.000390770525967743,0.0489450733960357,0.00022548376771166,0.00451907045317195,0.00022143667889441,0.00485708269445738,1,1,0.966666666666667,1
0.75,0.375,30,4.31045197156817e-05,0.0156487633452338,4.62315838738641e-05,0.000118163215544921,4.01767883088118e-05,0.000110698011718339,1,1,1,1
