spacing_m,feasibility_agreement,height_agreement,static_agreement,dynamic_agreement,nfz_agreement,median_rel_J,p90_rel_J,max_rel_J,median_rel_energy,median_rel_time,median_rel_risk,median_eval_time_ratio_to_0p75
3,0.9,0.933333333333333,0.933333333333333,0.933333333333333,1,0.0128911274695483,0.191793186904921,0.676159874843337,0.0114529693063027,0.00278069502137377,0.0139578935903582,0.263047029604346
1.5,1,1,1,1,1,0.0040385629438997,0.0558101312970688,0.144651749758912,0.00306855904004318,0.0011473411003981,0.00390791393727732,0.507014374952962
