case_id,environment_id,environment_seed,run_within_environment,algorithm_seed,spacing_m,J,energy_Wh,arrival_time_s,dynamic_risk,penalty_total,penalty_height,penalty_static,penalty_dynamic,penalty_nfz,feasible,static_violation,dynamic_violation,nfz_violation,total_subsamples,evaluation_time_s,status
1,1,204,1,268,3,7.11137145400713,6.094422486852,59.2957701594893,0,0,0,0,0,0,1,0,0,0,400,0.0836206,ok
1,1,204,1,268,1.5,21.8853829414744,6.16941556025119,60.0253817033336,0,0.146929383178694,0.135435130305131,0.0114942528735632,0,0,0,1,0,0,794,0.0641852,ok
1,1,204,1,268,0.75,21.9595130485047,6.16252787444793,59.9176202137412,0,0.147748541231162,0.136187847589543,0.0115606936416185,0,0,0,1,0,0,1583,0.1151683,ok
2,1,204,2,321,3,6.68102264469814,6.03249221178422,60.4681478745352,8.48583001527138e-05,0,0,0,0,0,1,0,0,0,402,0.0306453,ok
2,1,204,2,321,1.5,6.705703347468,6.05791496843995,60.3834214556637,8.12582606259164e-05,0,0,0,0,0,1,0,0,0,800,0.0629331,ok
2,1,204,2,321,0.75,6.74712203111219,6.09941253112054,60.372189083128,8.27306674321299e-05,0,0,0,0,0,1,0,0,0,1595,0.1141608,ok
3,1,204,3,374,3,7.20699544808517,6.138707804487,60.8453709639731,0,0,0,0,0,0,1,0,0,0,400,0.0261159,ok
3,1,204,3,374,1.5,7.25347106613213,6.18741523284235,60.5775537269651,0,0,0,0,0,0,1,0,0,0,797,0.0504917,ok
3,1,204,3,374,0.75,7.24346937602278,6.17654193470335,60.6821466905236,0,0,0,0,0,0,1,0,0,0,1592,0.1006894,ok
4,2,483,1,547,3,53.3612255303545,13.9272098464504,121.713290655834,0.297403076802679,0.290727611504173,0.063454884231446,0.227272727272727,0,0,0,1,0,0,578,0.0482867,ok
4,2,483,1,547,1.5,68.5663230234833,13.9852882654218,121.701040372185,0.297175079252187,0.442221622857767,0.177720152662632,0.264501470195135,0,0,0,1,0,0,1152,0.0873705,ok
4,2,483,1,547,0.75,59.9014705022072,13.9382985695327,121.636714597376,0.297614002414772,0.356004462768873,0.101635595985703,0.25436886678317,0,0,0,1,0,0,2301,0.1605492,ok
5,2,483,2,600,3,25.2789470287442,17.6945033204568,147.571460565353,0.0105618327641681,0.02948142559279,0.0140968102081746,0.0153846153846154,0,0,0,1,0,0,767,0.0522772,ok
5,2,483,2,600,1.5,26.8235218286453,17.8267791619728,146.622825642142,0.010604852869272,0.0436791660763992,0.0206022429994761,0.0230769230769231,0,0,0,1,0,0,1529,0.0987265,ok
5,2,483,2,600,0.75,26.3738133327272,17.7451207246814,146.642941901378,0.0106040473241123,0.0399970696897107,0.0188024646800768,0.0211946050096339,0,0,0,1,0,0,3053,0.1977551,ok
6,2,483,3,653,3,13.4612209351911,10.156833641571,105.475662214885,0.0219929462248362,0,0,0,0,0,1,0,0,0,524,0.0346543,ok
6,2,483,3,653,1.5,13.6694261450266,10.362685629812,106.34233269419,0.0215060429848748,0,0,0,0,0,1,0,0,0,1043,0.0689871,ok
6,2,483,3,653,0.75,13.6431828854863,10.3344889927929,106.322468238151,0.0217179344461146,0,0,0,0,0,1,0,0,0,2080,0.1335268,ok
7,3,638,1,702,3,161.034711081468,13.0120121541651,112.326277838321,0.0218203867783702,1.42910905771146,1.40827572437812,0.0208333333333333,0,0,0,1,0,0,426,0.0294406,ok
7,3,638,1,702,1.5,163.671632476117,13.0634771712013,112.738944882672,0.0229942137318719,1.45481184987187,1.42323290250345,0.0315789473684211,0,0,0,1,0,0,849,0.0537896,ok
7,3,638,1,702,0.75,163.631651858211,13.0257629108063,112.443379257302,0.0230138826685629,1.45481184987187,1.42323290250345,0.0315789473684211,0,0,0,1,0,0,1696,0.1071373,ok
8,3,638,2,755,3,15.3490559380952,10.9614657001645,113.604019875881,0.0528909524919683,0.0129559405678098,0.0129559405678098,0,0,0,0,0,0,0,451,0.0300076,ok
8,3,638,2,755,1.5,15.4707594297018,11.0128837539994,114.147636227399,0.059466482642869,0.0129559405678098,0.0129559405678098,0,0,0,0,0,0,0,844,0.0591414,ok
8,3,638,2,755,0.75,15.3881550306557,10.9583582166508,113.82847049672,0.0484310793016976,0.0138052894291751,0.0138052894291751,0,0,0,0,0,0,0,1632,0.10313,ok
